symbol,company,close,change,percent
RCCC,"{'symbol': 'RCCC', 'name': 'Utama Radar Cahaya Tbk.', 'logo': 'https://s3.goapi.io/logo/RCCC.jpg'}",191,3,1.6
PMJS,"{'symbol': 'PMJS', 'name': 'Putra Mandiri Jembar Tbk.', 'logo': 'https://s3.goapi.io/logo/PMJS.jpg'}",128,2,1.59
ASRI,"{'symbol': 'ASRI', 'name': 'Alam Sutera Realty Tbk.', 'logo': 'https://s3.goapi.io/logo/ASRI.jpg'}",131,2,1.55
DEWI,"{'symbol': 'DEWI', 'name': 'Dewi Shri Farmindo Tbk.', 'logo': 'https://s3.goapi.io/logo/DEWI.jpg'}",67,1,1.52
GEMS,"{'symbol': 'GEMS', 'name': 'Golden Energy Mines Tbk.', 'logo': 'https://s3.goapi.io/logo/GEMS.jpg'}",6700,100,1.52
PTMP,"{'symbol': 'PTMP', 'name': 'Mitra Pack Tbk.', 'logo': 'https://s3.goapi.io/logo/PTMP.jpg'}",142,2,1.43
CEKA,"{'symbol': 'CEKA', 'name': 'Wilmar Cahaya Indonesia Tbk.', 'logo': 'https://s3.goapi.io/logo/CEKA.jpg'}",1865,25,1.36
SMDM,"{'symbol': 'SMDM', 'name': 'Suryamas Dutamakmur Tbk.', 'logo': 'https://s3.goapi.io/logo/SMDM.jpg'}",153,2,1.32
HOKI,"{'symbol': 'HOKI', 'name': 'Buyung Poetra Sembada Tbk.', 'logo': 'https://s3.goapi.io/logo/HOKI.jpg'}",155,2,1.31
AMAG,"{'symbol': 'AMAG', 'name': 'Asuransi Multi Artha Guna Tbk.', 'logo': 'https://s3.goapi.io/logo/AMAG.jpg'}",310,4,1.31
INDX,"{'symbol': 'INDX', 'name': 'Tanah Laut Tbk', 'logo': 'https://s3.goapi.io/logo/INDX.jpg'}",81,1,1.25
AMOR,"{'symbol': 'AMOR', 'name': 'Ashmore Asset Management Indonesia Tbk.', 'logo': 'https://s3.goapi.io/logo/AMOR.jpg'}",810,10,1.25
WINS,"{'symbol': 'WINS', 'name': 'Wintermar Offshore Marine Tbk.', 'logo': 'https://s3.goapi.io/logo/WINS.jpg'}",492,6,1.23
TOTL,"{'symbol': 'TOTL', 'name': 'Total Bangun Persada Tbk.', 'logo': 'https://s3.goapi.io/logo/TOTL.jpg'}",492,6,1.23
UNSP,"{'symbol': 'UNSP', 'name': 'Bakrie Sumatera Plantations Tbk.', 'logo': 'https://s3.goapi.io/logo/UNSP.jpg'}",85,1,1.19
ALDO,"{'symbol': 'ALDO', 'name': 'Alkindo Naratama Tbk.', 'logo': 'https://s3.goapi.io/logo/ALDO.jpg'}",850,10,1.19
DEPO,"{'symbol': 'DEPO', 'name': 'Caturkarda Depo Bangunan Tbk.', 'logo': 'https://s3.goapi.io/logo/DEPO.jpg'}",374,4,1.08
VICO,"{'symbol': 'VICO', 'name': 'Victoria Investama Tbk.', 'logo': 'https://s3.goapi.io/logo/VICO.jpg'}",95,1,1.06
MPXL,"{'symbol': 'MPXL', 'name': 'MPX Logistics International Tbk.', 'logo': 'https://s3.goapi.io/logo/MPXL.jpg'}",99,1,1.02
BUKK,"{'symbol': 'BUKK', 'name': 'Bukaka Teknik Utama Tbk.', 'logo': 'https://s3.goapi.io/logo/BUKK.jpg'}",990,10,1.02
IFII,"{'symbol': 'IFII', 'name': 'Indonesia Fibreboard Industry Tbk.', 'logo': 'https://s3.goapi.io/logo/IFII.jpg'}",200,2,1.01
KETR,"{'symbol': 'KETR', 'name': 'Ketrosden Triasmitra Tbk.', 'logo': 'https://s3.goapi.io/logo/KETR.jpg'}",202,2,1.0
GDST,"{'symbol': 'GDST', 'name': 'Gunawan Dianjaya Steel Tbk.', 'logo': 'https://s3.goapi.io/logo/GDST.jpg'}",101,1,1.0
KLBF,"{'symbol': 'KLBF', 'name': 'Kalbe Farma Tbk.', 'logo': 'https://s3.goapi.io/logo/KLBF.jpg'}",1580,15,0.96
